. سميج . ربرث						      |	* سممح . رسصارت
لوعفم ءاـهتنا نع ءىشانلا عـضولا يف اورظنو نيدلبلا مهت يتلا رو |	لوعفم ءابتنا نع ءىثانلا عضولا يف اورظنو نيدلبلا مهت يتلا روما
. يكريمالا لخدتلا بجشي ناريسع لداع ديسلا ينانبللا يباينلا سلج |	. ىريمالا لخدتلا بحشي ثاريسع لداع ديسلا ينانمالا ينانلا ساجنا
. مامتهالا قحتسي نيئجاللا لجال				      |	. ماجهالا قحتسي نيئحاللا لحال
امذ الا يتجهم يف عدي مل					      |	امذ الا ىتحبع يف عدب مل
. لوهجم ليصحت ىلإ يدؤي هجو ىلع تامولعملا بيترت ةيفيك نع ثحاب  |	.لوهجم ليصحت ىلإ يدؤي هجو ىلع تامولعملا بيترت ةيفيك نع ثحاب م
ةيقافتالا بجومب ةيقارعلا ةموكحلا ىضاقتتسو . قافتا ىلا قارعلا  |	ةنقافتالا بجو# ةيقارلا ةموكسللا ىضاقتتسو . قافتا ىلا قارعلا ي
ةقيقح نيخرؤملا اوربخي ىتح ىزغملا نوملعي اونوكي مل ةبصنالا هذه |	هةقيقح نيخروملا ادربخي قح ىزغملا نوملعي اونوكي مل ةبصنالا هذه
يناه نبا						      |	 يناه نبا
ناب داقتعالا ىلا ليمن اننا ريغ . حضاو دحاو ىنعم ىلا اهدر ثحاب |	ناب داقتعالا يلا ليم اننا ريغ .حضاو دحاو "ىنعم ىلا اهّدر ثحابل
- - - - - - - -						      |	هد س س شد ك ساسا -أ
. رهقلا ىلع ءاوتسالا					      |	.رهقلا ىلع ءاوتسالا
ةماعلا ةرادالا بيلاساو دعاوق				      |	ةماعلا ةرادالا بيلأساو دعاوق
نم ةريبك ةجرد ققحت ةيداصتقالا طباورلا ناو ايداصتقا رخالا امهن |	نم ةريبك ةجحرد ققحت ةيداصتقالا طباورلا ناو ايداصتقا رخالا اهن
ريفوتلاو داصتقالاو هيف ةدوجوملا تالوكأملا ةحصو ةفاظن ىلع ةظفا |	ريفوتلاو داصتقالاو هبف ةدوجوملا تالوك أملا ةحصو ةفاظن ىلع ةظف
ةليمجلا نونفلا						      |	ةليمحلا نودعلا
فرصملا يف ةيدقنلا اهلاوما نم ءزج عادياب اهمازلاوً اقبسا انرشا  |	فرصملا يف ةيدقنلا اهاوما نم ءزج عادياب اههازلاو أاقباس انرشا 
. ةعساو ًاـقافآ انماما حتفي عونلا اذه نم ًايرابتخا اًلمع نا . ةب |	. ةعساو ًاَقاف آ انماما متفي عونلا اذه نم ًايرايتخا المع نا . ةي
ارارم حرص دق رطاخ روتكدلا نا اصوصخ ةبقاع ملسا وه يفرحلا لقنلا |	ارارم حرص دق رطاخ روتك دلا نا اصوصخ ةيقاع لسا وه يفرحلا لقنلا
سلدنالا يف يبدالا دقنلا خيرات يف ةيانعلا قحتسي دحاو رهظم كلذ  |	سلدنالا يف يبدالا دقنلا خيرات يف ةيانعلا قحتسي دحاو ربظم كلذ 
لامعالاب مايقلاو ةرادالا ماهم ذخال نييلحملا ناكسلا بيردت ىلا  |	لامجالابمايقلاو ةرادالا ماهم ذخال نييلملا ناكسلا بيردت ىلا نو
ةعانصلا جاتنا لوح ةيئاصحالا تامولعملا رشنو ليلحتو عمجل دادعتل |	ةءانصلا ماتنا لوح ةيئاصحالا تامولعملا ريشنو ليلحتو عمجب دادعت
اياضق يف كلذ نم يهتني ام اريثكو ظافلالاب فرصتلا نسحي يذلا نان |	اياضق ىف كلذد نم ىبتني ام اريثك و ظافلالاب فرصتلا نسحب ىذلا ن
لـبقلا تاـيهشم يناوحقألا اـهرغث اياـنث مـساـبملا رـمح	      |	لبقلا 2 تايهشُم  يناوحقألا اهرغث ايانثث ٌممابملل رمح
ةكرتشملا حلاصملل ىلعالا سلجملا ىلا اهميلست ةسنرف ىلع بجاولا م |	ةرتشملا ملاصملل ىلعالا سلجملا يىلا اهميلست ةسنرف ىلع بجاولا م
ةلماح ردصت ةيداعلا ةنمزالا يف دئارجلا لعجي ام اذهو نوصتخملا ا |	ةلماح ردصت ةيداعلا ةئمزالا ىف دنارطا لعجيام اذهو نوصتٌغا اهورر
ثاحبالا هذه لعج يف اهعم نواعتلل صاصتخالاو ركفلا لاجر وعدت يهو |	ثاحنالاهذه لعج ىف ابعم ثواعتلل صاصتخالاو ركفلا لاحر وعدت يهو
.ً اضاي باتكلل						      |	. أضنا باتكلل
سيلو . اهيأرب ديقتي الو ةلودلا نوؤش يف اهيلا عجري ةنيعم ةئيهب |	سيلو . اهيأرب ديقتي الو ةلودلا نوؤش يف اهيلا عجرب ةنيعم ةئمبب
ىلع داقعلا دمحم روهمجلا برطيو				      |	ىللع داقعلا دمحم روهمجلا برطيو
. ةيرحلاو لالقتسالا لظ يف ةسدقملا ةينمالا هذه قيقحت	      |	. ةيرعاو لالقتسالا لظ يف ةسدقملا ةمنمالا هذه قيقحت
كلذكو . مويلا اـهريغ يه اماع نيسمخ ذنم ةينانبللا ةيماعلاف     |	كلذك و . موملا اهريغ يه اماع نيسمخ ذنم ةينانبللا ةيماعلاف
روصلاو موسرلاو طئارخلاب دوزمو بهسمو عئار ريرقتلاو . اهملاعم ر |	روصلاو موسرلاو طئارخلاب دوزمو ببسمو عئار ريرقتلاو . اهمللاعم 
. هيلع تلصح يذلا لعفلا در				      |	. ةيلع تاصح ىدلا لعفلا در
ةحلسالاب ةصاخلا ةيلاملا لئاسملا ضعب ثحبو تاعوفدملا ميظنت نأشب |	ةحاسالاب ةصاخلا ةيلاملا لئاسملا ضعب ثحبو تاعوفدملا مظنت تأشب 
ناتنثا اهنم ابيرقت نوعبرا ةكلمملا ىف ةثيدحلا ةيئادتبالا سرادم |	ناتنثا ابنم امدرقت نوعيرا ةكلمملا .ىف ةثيدخا ةيثادترالا سرادم
يهو يمورلا قيرطبلا اهيلا راشا يتلا ةثالثلا بويعلا نع نيبتاكلا |	ىهو يمورلا قيرطبلا اهيلا راشا ىتلا ةثالثلا بومعلا نع نيبتاكلا
اـهنا ذا ةيح كش الو اـهنا حرصف يدنالوهلا كوهنوفيل وه قئالخلا  |	اهنا ذا ةيح كُس الو اهنا حارصف يدنالوهلا كومنوفبل وه قئالخلا ن
رخآ دلب ىلا ةعلسلا كلت عنص لقن ام اذاف . ريخلا يف ةدايزف ًانكم |	رخخآ دلب ىلا ةعلسلا كلت عنض لقث ام اذاف . ريخلا يف ةدايزف ًانك
لمعلل تاعامتجا اهنا ساسا ىلع ةمظتنم ةروصب هذهك تاعامتجا ينبت  |	لمعلل تاعاّتحا امبا ساسا ىلع ةمظنتنم ةروصب هذهك تاءاّتجا ىنبت د
يتلا لبانقلاف . ةيزاـنلاو ةيتسشافلا نايغط دض يملاعلا عارصلا ى |	ىتلا لبانقلاف . ةيزانلاو ةيتسشافلا .نايغط دض ىملاعلا عارصلا ى
يبويالا نيدلا حالص					      |	ينويالا نيدلا حالص
نم ةيلامشلا قطانملا تناك رشع عباسلا نرقلا ةياـهن يفو . دالبلا |	نم ةيلامشلا قطانملا تناك رسشع عباسلا ىررقلا ةياسن يفو . دالمل
مهعئاقوب ًاينغتم ناشلا يوذ ىلا ًافلزتم يريمالا وهبلا وا يكلملا  |	مهعت اقوب اشغتم ناشلا يوذ ىلا ًافلزتم يريمالا وهبلا وا يكتاملا
وا . اهتدابا ةيفيكو اهتشيعم قرطو تاعورزملاب ةرضملا تارشحلا سر |	وا . اتدابا ةيفبككو اهتشدعم قرطو تاعورزملاب ةرضملا تارشحللا س
ممالا ةبصع سلجم يف ةيوضعلا تناكف . ةدحتملا ممالا ةئيه اهدعب ن |	ممالا ةيصع سلح يف ةيوذعلا تناكف . ةدحتملا ممالا ةئيه اهدعي نم
. زايتمالا بحاص ىلا اهحابرا مظعم دوعيو سيراب يف اهلك فظوت تاك |	.زايتمالا بحاصملا اهحابرا مظعم دوعيو سيرابيف اهلك فظوتتاكن رف
نييرضحلا ناكسلا ةبسن					      |	ناي رضخلا ناكسلا ةبسن
زاجحلا ةرادإ						      |	زاسكا ةرادإ
مهريغ دـحال قحي الو . تاوصالا زرفو تيوصتلا تايلمع بقاريو رضحي |	متريغ دحأل قحي الو . تاوصألا زرفو تيوصتلا تايلمت فقازيو رضح ن
نيلثمم دوجو ىلع يوطني مسالا نال انه مسالا اذه اهيلع قلطا نل ي |	نيلثم ةوحو ىلع يوطني مسالا نآل انه مسالا اذه اهيلع قلطا نأ ىن
. يبرعلا قرشلا خيرات تلمش يتلا ةمجرتلاو فيلأتلا ةكرح طشنت نا  |	.يبرعلاق رششلا خيرات تاىش ىتلا ةحرتلاو فيلأتلا ةكرح طشنت نا ي
. يدرفلا دوهجملا عيجشت ىلا دالبلا ةجاح عم ضراعتي ام دوعولاو   |	. يدرفلا دوبجما عيجشت ىلا دالبلا ةحاح عم ضراعتي ام دوعولاو
. سميج . ربرث						      |	* سممح . رسضارت
لكشلا باـصا ديدجتلا اذه نا ملعن نحنو . ديدجتلا نم داقنلا فقوم |	لكشلا باصا ديدجتلا اذه نأ ىلعن ن>يو . ديدجتلا نم داقنلا فقوم 
وهو . دالبلا يف اهنوضقي يتلا ةدملا ةدايزو بناجالا نيحئاسلا دد |	وهو . دالبلا يف ابنوضقي يتلا ةدملا ةدايزو بناحالا نيحغغاسلا د
ضعب يوريو يناثلاو لوالا يسلا ىلا يهتنيف هترابع ةسالسو باذجلا  |	ضعب يوريو يناثلاو لوالا يبسلا ىلا ىهتنف هتوابع ةسالسو باذملا 
ىلا ايناطيرب نم رفسلل الثم ةماعلا ةحصلا وا بلقلا ةحارج يف نيي |	ىلا اناطيرب نم رفسلل الّثم ةماعلا ةحصلا وا بلقلا ةحارح ى نيصاص
زاهجلا نع هريرقت يف دراولا ركنس لوب ريسلا يأرً اضاي وه اذهو .  |	زابملا نع هربرقت ىف دراولا ركنس لوي ريسلا يأر أضيا وه اذهو . 
مالا ةبرلا وا تيدورفا مسا اوسانت نكلو تيزلاب هتراجح نوحسميو م |	مالا ةيرلا وأ تيدورفا ممأ اوسانت نكلو تيزلاب هتراحح نوحسعو مي
. ةنامورلا ةريظحلا ىلا ةلتحملا				      |	. ةمنامورلا ةريظحلا ىلا هتحلا
. وفعلا حارتقا لبق ةفرتقملا مئارجلا نع ماعلا		      |	. وذعلا حارتقا لبق ةفرتقملا مثارطا نع ماعلا
دبع بيج لسرا ظفل يفو ىرداوقلا قاذرلا دـبع ديسلا ىلا بسلاو متش |	دينع بيح لسرا ظفل يىفو ىرداوقلا قادرلا لبع ديسلا ىلا بسلاو مش
ىلع ثحبلا كلذ يف امب ةكرتشم ةعفنم تاذ نوكت ةمئاقلا لكاشملا ضع |	ىلع ثحبلا كلذ يف ام ةك رتشم ةعفنم تاذ توكقت ةمئاقلا لك ادْلا ض
. ةرافس ةجرد ىلا نيدلبلا نيب يسامولبدلا ليثمتلا عفر ررقت دقو  |	. ةرافس ةحرد ىلا نيدلبلا نيب يسامولبدلا ليثمتلا مفر ررقت دقو
. اهاوه عبتي						      |	, اهاوه عش
ناجشا . ليصالا حابشا . ةريهظلا جهو . حابصلا ةظقي : نم سبتقم . |	نراخشا . ليصالا حاشا . ةريبظلا جهو . حابصلا ةظقي : نم ستقم , 
نم صوصنلاو بتكلا هذهل امل ثحبلا اذهل ددحملا رصعلا لالخ ترشن ي |	نمصوصنلاو بتكلا هذهل ال ثحبلا اذهل ددغغا رصعلا لالخ ترشن ىتلا
بعشتم صصختم زاـهج ةطخلا هذه جمارب ذـيفنت ىلع فارشالا .	      |	بعشتم صصختم زاهج ةطخلا هذه جمارب ذيفنت ىلع فارشالا 
: بساحلا نبا نيحلت نم وهو يسنلبلا قاقزلا نبا رعشو	      |	: بساحلا نبا نيحلت نم وهو ىسنلسلا ىاقزلا نبا رعشو
نع هـتمتاخو هايملاو ةعارزلا نع لصف هيفو . هلودلل ةيبنجالاو ةي |	نع هنتاخو هاملاو ةعارزلا نع لصف هيفو . هلودلل ةسنحالاو ةيبرعل
يحاونلاب نومتهي لئالق نيربخم ىلع دمتعت ةيبرعلا دئارجلا امنيب  |	يحاونلاب _هو.تم لئالق نيربخم ىلع دمتعت ةيبرعلا دئا رلا انيب ر
ةمظنالاو نيناوقللً اقوف اهلبق نم اهلامعتسا نكميو ةلماكلا ةيسنر |	ةءظنالاو نيناوقلل ًاقفو املدق نم اهلاعتسا نكميو ةماكلا ةسنرفلا
ةيلخلا ةدحو بهذم قاثبنا دهاش يذلا ًابيرقت ليجلا سفن يف سوردلا  |	ةءاحلا ةدحو بهذم قاثننا دهاش يذلا ًاسرقت لملا سفن يف سوردلا هذ
الا مهللا - رخآ بعش اهيلا مهقبس املق ةجرد ىلا لصو يذلا نوناقل |	الا مهللا - رخآ بعش اهيلا مهقبس اماق ةجرد ىلا لصو يذلا نوناقل
ودبيو . ًايعوضومً اخرمؤ الً اعفامد ًارشبم ةيميت نبا نع هتباتك يف  |	ودسو . ًاعوضوم أخرؤم ال ًاعفادم ً]رشيم ةيميت نبا نع هتباتك ىف نا
تاضواـفملا يف لوخدلا نم ريغلا عنمي ال هسفن ةصاخ يف ةطخلا هذهب |	تاضوافملا يف لوخدلا نم ريغلا منمي ال هسفن ةصاخ يف ةطخلا هذبب 
ةماقاب حمس دق ةدحتملا ممالا ةمظنم يفً اوعض ةيدوعسلا ةيبرعلا ةك |	ةماقاب مممس دق ةدحتملا ممالا ةمظنم يف ًاوضع ةيدوعسلا ةيبرعلا ة
ةيبرعلا لودلاو نانويلا يف تمقافت نا تثبل ام نيدرـشملا نيئجالل |	ةسرعلا لودلاو نائوملا ىف تقافد نا ثّثل ام نيدرسثملا نيثحاللا ة
ةيناملرب تاراشتساب ةيروهمجلا سيئر موقي نأب ينانبللا يسايسلا ف |	ةيناملرب تأراشتساب ةيروهمجا سيئر موقي نأب يناتيللا يساسلا فرع
باتكلا راد						      |	كاشخا5
ةقيرطلاف . مدآ ءانبأك ةريثك هللا ىلا قرط ةيفوصلا لوقي امك كان |	ةقيرطلاف .مدآ ءانبأك ةريثك هللا ىلا قرط ةمفوصلا لوقي اك كانبف
ةركف تناك . ةررحملا ةيبرتلا هنمضتت نا بجي ام يف نيعم دحل ولو  |	ةركف تناك .ةررحغأ ةيبرتلا هنمضتت نا بحي ام ىف نيعم دخ ولو راث
أدبت هرفطلا نانظيو . تانيجلا رغصل هتيؤر نكمي ال تانيجلا ةعيبط |	أدت هرفطلا نا نظيو . تانيطا رّهصا هتيؤر نكمي ال تانيملا ةءيط ي
: ةيسايسلاو ةيعامتجالا فورظلا ببسب ةعئاضلا ةيرشبلا دراوملا :ً  |	: ةمسامسلاو ةيعاتحالا فورظلا بيس ةعئاضلا ةيرشلا دراوملا : ًاعب
. قارعلا كلم ينانلا لصيف كلملا				      |	٠. فقارعلا كلم ىبالأ لصيف كلملا
. يرئازجلا يعويشلا بزحلا لحب الليب نب دمحا يرئازجلا سيئرلا رم |	. يرئازجلا يعويشلا بزكلا لحب اللس نب دمحا يرئازجلا سيئرلا رمأ
. تاليهستلاو ينابملا متت املاح				      |	. تاليبستلاو يفابملا متت املا-
. ةيعقاو فادهألا نوكت نأ يغبني -			      |	.ةيعقاو فادهألا نوكت نأ يغبني -
روحالا لازغلاك ينانج يروح رمسالا بيضقلاك ىنثت رمسأ	      |	روحالا لازغلاك ىينانج ىروح  ٌرمسالا َبيضقلاك ىنثت رمسأ
رايتخالا قح اهبجومب حنم يتلا ىرخالا تاطلسلا عـيمجل هتسرامم دن |	رايتخالا قح اهبحومم حنم يلا ىرخالا تاطلسلا عبمب هتسرام دنع هر
نا ينانبللا يعانصلا دادعتلا نع ريراقتلا أرقي نمل رهظيو . ةيعا |	كرأ يناتيللا ىعانصلا دادعتلا نع. ريراقتلا أرقب نأ ربظبو . ةيع
يسآم نم ةيناث ةاسأم ىلع راتسلا لدسا ةنسلا كلت يف - انخيرات يف |	ىمام نم ةيناث ةاسأم ىلع راتسلا لدسا ةئسلا كلت ىف - انخراتىف ة
هل عضخي ًاـتباثً امانظ ملاعلا يف ناب يعيبطلا نوناقلاب نونمؤملا  |	( عض# ]تباث ًاماظن ملاعلا يف ناب يعببطلا نوناقلاب نوئمؤملا لاق
ثاحبألا							      |	تاحلا
تاداقتنا دض هدعاسو هججحو يبلكلا نبا ءارآ نم ربكالا مسقلا تبثأ |	تاداقتنا دض هدعاسو هججحو ىلكلا نبا ءارا نم ربكالا مسقلا تبثآ 
توريب يف ةيكريمألا ةعماجلا اـهردصت ةلجم			      |	توّربإ لكدمألا فماجبا ايحررصنرب
. اذه ضيقن ىلع رمالا لب فلحلا وا			      |	. اذه ضميقن ىلع رمالا لب فللا وا
. بيجن دمحم ماعلا دئاقلاو يكريمالا ريفسلاو اشاب رهام يلع سيئر |	. بيجن دمس ماعلا دئاقلاو جريمالا ريفسلاو اًساب رهام ىلع سيئرلا
ىأر نم لواو . رطفلا روذبو ةريمخلا ايالخ اوأرو ةملاسملاو ةراضل |	ىأر نم لوأو . رطفلا روذبو ةريجلا ابالخ اوأرو ةملاسملاو ةراضلا
: ةيلاتلا ماكحالا نم ودبي امك ةيمكلا ثيح نم فيلستلا ديدحت :ً ا |	: ةيلاثلا ماكحالا نم ودبي م ةيمكلا ثيح نم فيلستلا ديدحت : آلو
. نيعم يـنس ميعزو ةيروهمجلا سيئر نيب أشنت يتلا ةديطولا تاقالع |	. نّمعم يّنس معزو ةيروهما سيئر نيب أشنت يتلا ةديطولا تاقالعلا د
ةسايسلل مت اذا هناف اذهلو . ةراسخب انايحا اهعيبو جراخلا ىلا م |	ةسايسل[ مث اذا هناف اذهو .ةراسخانامحا اهعيبو جراخلاىلا مهعئاض
عمتجملا لجا نم لمعلا ىلع ءاضعالا بردتف اهلامعا ذيفنت يف ةيبزح |	عيشلا لجا نم لمعلا ىلع ءاضعالا بردتف اهلاءءا ديفنت يف ةييرالا
يبرـعلايملـعلا ركـفلا روطت				      |	لرسلايلايلار وطت
. دالبلا						      |	, هالأا
. نامع يف يناطيربلا لخدتلا دض ةدحتملا ممالا ىلا ًاجاجتحا ةيقير |	. نا.ء يف يناطي ريلا لخدتلا دض ةدحاملا مهالا ىلا ًاحاحتحا ةيقي
ءابنالا تالاكو تماقو . ةلوهسب هعفدت نا ةديرجلا عسوب ًالوقعم ًاك |	ءابنالا تالكو تماقو .ةلوهسب هعفدت نا ةديرجلا عسوب ًالوقعم أك ا
. لخدلا ىوتسم طوبه متحتيف فيظوتلاو			      |	. لخدلا .ىوتسم طوبه ممحتبف فيظوتلاو
نويع ناهرلا موي اهب تقلع اـهنا ال اـهقبس ةعاسب تفرع	      |	اكوبع تاهرلا::موي اب تقلع ابهنا ال اهقبس ةعاسن ٍتفرع
تضق ثيحب ينامورلا مالسلا بابشلا دهع يف ةيريشبتلا برحلا تطشن د |	تضق ثدحيلام ورلا مالسلا باشلا دهعيف ةيريشدتلا ب رخا تطشن دقف.
لب ًاـعبارم سيل هناف لوصحملا نم هتصخ ذـخأي ناك ناو عرازملا نا  |	لب ًاعبارم سل هناف لوصحملا نم هتصخ ذخأب ناك ناو عرازملا نا ا .
. عمتجملا ةحلصم عم وا نيرخآلا قوقح عم ضراعتت ال تماد ام اهدكؤ |	. عمتجملا ةحلصم عم وأ نيرخآلا قوقح عم ضراعتت ال تماد ام اهدئو
يفو ريصملا ريرقت يف نيينادوسلا قحبً اديوط ًاناميا ةيرصملا ةموكح |	ىفوريصملا ريرقت ىف ثيينادوسلا قحي ًاديطو ًاناعا ةيرصملا ةموكتمل
هبولساو . حالصالا لجا نم ةقداص ةينطو ةبغرب هتجلاعم يف عوفدم ف |	ةيولساو . حالصالا لجأ نم ةقداص ةينطو ةيغرب هتحلاعم يف عوفدم ف
لاملا مئارج وا لجرلا نيا				      |	لاملا تارج وأ لجرلا نا
نانبل - توريب						      |	نانتل - توزريَب 
نم لئاسلا ركسلل لمعمو ةيعارز تاعانصو ديدحلل رخآو قرولا لمعمو  |	عرم لئاسلا ركسسلل لمعمو ةععارز تاعانضو ديدحال رخنآو قرولا لمع
لمحتتل ةيعيرشتلا سلاجملا هذه ةيوقت مويلا ةيطارقميدلا تابجاو م |	لئختتل ةيعيرشتلا سلاجملا هذه ةنوقت مويلا ةيطارقيدلا تابجاو مه
ةدحتملا ممالا اهب تصوا يتلا فيراعتلا عم قفتت لوالا ريرقتلل ةم |	ةدحتملا مهالا اب,تصوأ ىبلا فيراعتلا عم قفتت لوالا ريرقتلل ةمد
تاريخلا هذه ىلع اولصحيل مهعسو يف اـم لك اولمعي نا مهبولق يف ا |	تاريكلا .هذه ىلع اواصخبل مرعسو يف ام لك اواءعي نا مهبولق يف ا
وا ةلادعلا ققحيل نكي مل ماظنك وهو . سسالا هذه هل اـملاط كلذ س |	وأ ةلادعلا ققحيل نكي مل ماظنك وهو . سسالا هذه هلا_ ح لاط كلذ 
ررحم يتيام نم برقي ام ةيكريمالا دئارجلا ضعب ريرحت مسق يف تدها |	ررحم يتبام نم برقي ام ةيك ريمالا دئارطا ضعب ريرحت مسق يىف تده
. تانب ثالثو						      |	. تانش ثالثو
ةربخلا لها مامتها ريثي نأب ريدج نابانكلا اهاوتحا يتلا ةداملا  |	ةريللا لها ماتها ريث تأب ردح تاباتكلا اهاوتحا لا ةدالا نم.ريك
ةيميظنتلا ةطلسلا					      |	ةمظتتلا ةطلسلا
اـمبر وا انب بهشلا تراغ					      |	امير ىا انب ببشلا .تراغ
ًاحاحلإ دشا ليماسرلا ىلا ةجاحلا تحبصا نيئجاللا ليس قفدتبو . اه |	احالإ دسا ليماسرلاىلا ةجاطلا تحصا نيثحاللا لهسؤةدتيو .اهناكتس
ريبكلا جاتنالا نمضتي ينفلا ءامنالا نا ريغ . ةدحتملا تايالولاو |	ريبكلا جاتنالا نمضتي ينفلا ءانالا نأ ريغ.ةدحتملا تالايولاو اب
